Country.Name,Country.ISO,Series.Name,Series.Year,Indicator,Sex,Series.Type,Series.Category,Data.Collection.Method,Model.Life.Table,Years.Preceding.the.Survey or Time.Since.First.Birth or Age.Group.of.Women,Interval,Reference.Date,Estimates,Standard.Error.of.Estimates,Indirect.method.based.on.TSFB,Method.based.on.Age.Group.of.Women,Inclusion,Adjustment,DataCatalogID
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2009,5","63,16","3,52",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2006,5","73,24","3,64",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2003,5","90,67","6,99",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2000,5","93,82","4,95",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"1997,5","99,87","5,85",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"1994,5","116,47","8,24",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"1991,5","135,65","10,36",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2013,5","67,42",,,,1,NN adjustment,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2010,5","83,30",,,,1,NN adjustment,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2007,5","88,35",,,,1,NN adjustment,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2004,5","103,47",,,,1,NN adjustment,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2001,5","120,69",,,,1,NN adjustment,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"1998,5","116,95",,,,1,NN adjustment,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"1995,5","139,58",,,,1,NN adjustment,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"1992,5","160,22",,,,1,NN adjustment,5689
Afghanistan,AFG,Afghanistan Health Survey 2015,2015,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2012,5","76,80",,,,0,,7507
Afghanistan,AFG,Afghanistan Living Conditions Survey,2011-2012,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,CD West,20-24,,"2009,9","105,90",,0,1,0,,5252
Afghanistan,AFG,Afghanistan Living Conditions Survey,2011-2012,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,CD West,25-29,,2008,"85,00",,0,1,0,,5252
Afghanistan,AFG,Afghanistan Living Conditions Survey,2011-2012,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,CD West,30-34,,"2005,8","90,70",,0,1,0,,5252
Afghanistan,AFG,Afghanistan Living Conditions Survey,2011-2012,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,CD West,35-39,,"2003,2","97,70",,0,1,0,,5252
Afghanistan,AFG,Afghanistan Living Conditions Survey,2011-2012,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,CD West,40-44,,"2000,5","100,30",,0,1,0,,5252
Afghanistan,AFG,Afghanistan Living Conditions Survey,2011-2012,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,CD West,45-49,,"1997,5","101,70",,0,1,0,,5252
Afghanistan,AFG,Multiple Indicator Cluster Survey,2010-2011,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,CD West,20-24,,2009,"107,70",,0,1,0,,4983
Afghanistan,AFG,Multiple Indicator Cluster Survey,2010-2011,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,CD West,25-29,,"2007,3","101,10",,0,1,1,,4983
Afghanistan,AFG,Multiple Indicator Cluster Survey,2010-2011,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,CD West,30-34,,"2005,2","103,20",,0,1,1,,4983
Afghanistan,AFG,Multiple Indicator Cluster Survey,2010-2011,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,CD West,35-39,,"2002,8","107,30",,0,1,1,,4983
Afghanistan,AFG,Multiple Indicator Cluster Survey,2010-2011,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,CD West,40-44,,"2000,2","116,20",,0,1,1,,4983
Afghanistan,AFG,Multiple Indicator Cluster Survey,2010-2011,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,CD West,45-49,,"1997,2","120,10",,0,1,1,,4983
Afghanistan,AFG,Multiple Indicator Cluster Survey Excluding South Zone,2010-2011,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,CD West,20-24,,2009,"91,00",,0,1,0,,4983
Afghanistan,AFG,Multiple Indicator Cluster Survey Excluding South Zone,2010-2011,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,CD West,25-29,,"2007,3","105,70",,0,1,0,,4983
Afghanistan,AFG,Multiple Indicator Cluster Survey Excluding South Zone,2010-2011,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,CD West,30-34,,"2005,3","114,40",,0,1,0,,4983
Afghanistan,AFG,Multiple Indicator Cluster Survey Excluding South Zone,2010-2011,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,CD West,35-39,,2003,"115,80",,0,1,0,,4983
Afghanistan,AFG,Multiple Indicator Cluster Survey Excluding South Zone,2010-2011,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,CD West,40-44,,"2000,4","134,10",,0,1,0,,4983
Afghanistan,AFG,Multiple Indicator Cluster Survey Excluding South Zone,2010-2011,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,CD West,45-49,,"1997,4","143,20",,0,1,0,,4983
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,0-1,2,2009,"72,63",,,,0,,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,2-3,2,2007,"87,20",,,,0,,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,4-5,2,2005,"83,19",,,,0,,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,6-7,2,2003,"99,27",,,,0,,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,8-9,2,2001,"107,52",,,,0,,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,10-11,2,1999,"110,44",,,,0,,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,12-13,2,1997,"111,04",,,,0,,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,14-15,2,1995,"110,36",,,,0,,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,16-17,2,1993,"120,11",,,,0,,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,18-19,2,1991,"138,19",,,,0,,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,20-21,2,1989,"167,76",,,,0,,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone,2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,22-23,2,1987,"173,56",,,,0,,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone (Household data (5 year)),2010,Under-five Mortality Rate,Total,Household Deaths,Special DHS,Household Deaths,,,,"2008,1","97,00",,,,1,,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone (NN adjusted),2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,0-1,2,2009,"95,35",,,,1,NN adjustment,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone (NN adjusted),2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,2-3,2,2007,"113,54",,,,1,NN adjustment,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone (NN adjusted),2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,4-5,2,2005,"107,52",,,,1,NN adjustment,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone (NN adjusted),2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,6-7,2,2003,"121,59",,,,1,NN adjustment,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone (NN adjusted),2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,8-9,2,2001,"137,42",,,,1,NN adjustment,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone (NN adjusted),2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,10-11,2,1999,"133,60",,,,1,NN adjustment,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone (NN adjusted),2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,12-13,2,1997,"137,86",,,,1,NN adjustment,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone (NN adjusted),2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,14-15,2,1995,"136,45",,,,1,NN adjustment,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone (NN adjusted),2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,16-17,2,1993,"143,84",,,,1,NN adjustment,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone (NN adjusted),2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,18-19,2,1991,"169,12",,,,1,NN adjustment,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone (NN adjusted),2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,20-21,2,1989,"189,48",,,,1,NN adjustment,5045
Afghanistan,AFG,Afghanistan Mortality Survey (AMS) Excluding South Zone (NN adjusted),2010,Under-five Mortality Rate,Total,Direct,Special DHS,Full Birth Histories,,22-23,2,1987,"194,32",,,,1,NN adjustment,5045
Afghanistan,AFG,National Risk and Vulnerability Assessment Survey,2007-2008,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,CD West,20-24,,"2006,3","171,00",,0,1,0,,4465
Afghanistan,AFG,National Risk and Vulnerability Assessment Survey,2007-2008,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,CD West,25-29,,"2004,4","155,00",,0,1,1,,4465
Afghanistan,AFG,National Risk and Vulnerability Assessment Survey,2007-2008,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,CD West,30-34,,2002,"150,00",,0,1,1,,4465
Afghanistan,AFG,National Risk and Vulnerability Assessment Survey,2007-2008,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,CD West,35-39,,"1999,5","143,00",,0,1,1,,4465
Afghanistan,AFG,National Risk and Vulnerability Assessment Survey,2007-2008,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,CD West,40-44,,"1996,6","152,00",,0,1,1,,4465
Afghanistan,AFG,National Risk and Vulnerability Assessment Survey,2007-2008,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,CD West,45-49,,"1993,6","134,00",,0,1,1,,4465
Afghanistan,AFG,Afghanistan Health Survey,2006-2007,Under-five Mortality Rate,Total,Indirect,NDHS,Summary Birth Histories,,25-29,,"2002,9","162,00",,0,1,1,,4369
Afghanistan,AFG,Afghanistan Health Survey,2006-2007,Under-five Mortality Rate,Total,Indirect,NDHS,Summary Birth Histories,,30-34,,"2000,8","148,00",,0,1,1,,4369
Afghanistan,AFG,Afghanistan Health Survey,2006-2007,Under-five Mortality Rate,Total,Indirect,NDHS,Summary Birth Histories,,35-39,,"1998,6","140,00",,0,1,1,,4369
Afghanistan,AFG,Afghanistan Health Survey,2006-2007,Under-five Mortality Rate,Total,Indirect,NDHS,Summary Birth Histories,,40-44,,"1996,1","144,00",,0,1,1,,4369
Afghanistan,AFG,Afghanistan Health Survey,2006-2007,Under-five Mortality Rate,Total,Indirect,NDHS,Summary Birth Histories,,45-49,,"1993,1","135,00",,0,1,1,,4369
Afghanistan,AFG,Multiple Indicator Cluster Survey,2003,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,0-4,,2001,"82,00",,,,0,,1925
Afghanistan,AFG,Multiple Indicator Cluster Survey,2003,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,5-9,,1996,"88,00",,,,0,,1925
Afghanistan,AFG,Multiple Indicator Cluster Survey,2003,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,10-14,,1991,"104,00",,,,0,,1925
Afghanistan,AFG,Multiple Indicator Cluster Survey,2003,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,15-19,,1986,"136,00",,,,0,,1925
Afghanistan,AFG,Multiple Indicator Cluster Survey,2003,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,20-24,,1981,"177,00",,,,0,,1925
Afghanistan,AFG,Multiple Indicator Cluster Survey,2003,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,20-24,,"2001,4","114,00",,0,1,0,,1925
Afghanistan,AFG,Multiple Indicator Cluster Survey,2003,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,25-29,,"1999,6","100,00",,0,1,0,,1925
Afghanistan,AFG,Multiple Indicator Cluster Survey,2003,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,30-34,,"1997,3","95,00",,0,1,0,,1925
Afghanistan,AFG,Multiple Indicator Cluster Survey,2003,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,35-39,,"1994,7","95,00",,0,1,0,,1925
Afghanistan,AFG,Multiple Indicator Cluster Survey,2003,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,40-44,,"1991,9","99,00",,0,1,0,,1925
Afghanistan,AFG,Multiple Indicator Cluster Survey,2003,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,45-49,,"1988,9","99,00",,0,1,0,,1925
Afghanistan,AFG,Multiple Indicator Cluster Survey,2000,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,25-29,,"1996,5","171,00",,0,1,0,,2893
Afghanistan,AFG,Multiple Indicator Cluster Survey,2000,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,30-34,,1994,"158,00",,0,1,0,,2893
Afghanistan,AFG,Multiple Indicator Cluster Survey,2000,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,35-39,,"1991,2","131,00",,0,1,0,,2893
Afghanistan,AFG,Multiple Indicator Cluster Survey,2000,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,40-44,,"1988,3","159,00",,0,1,0,,2893
Afghanistan,AFG,Multiple Indicator Cluster Survey,2000,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,45-49,,"1985,3","170,00",,0,1,0,,2893
Afghanistan,AFG,Multiple Indicator Cluster Survey,1997,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,20-24,,1994,"236,00",,0,1,0,,5250
Afghanistan,AFG,Multiple Indicator Cluster Survey,1997,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,25-29,,1993,"236,00",,0,1,1,,5250
Afghanistan,AFG,Multiple Indicator Cluster Survey,1997,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,30-34,,1990,"257,00",,0,1,1,,5250
Afghanistan,AFG,Multiple Indicator Cluster Survey,1997,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,35-39,,1988,"247,00",,0,1,1,,5250
Afghanistan,AFG,Multiple Indicator Cluster Survey,1997,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,40-44,,1985,"300,00",,0,1,1,,5250
Afghanistan,AFG,Multiple Indicator Cluster Survey,1997,Under-five Mortality Rate,Total,Indirect,MICS,Summary Birth Histories,,45-49,,1982,"280,00",,0,1,1,,5250
Afghanistan,AFG,Census,1979,Under-five Mortality Rate,Total,Household Deaths,Census,Household Deaths,,,,"1978,5","272,00",,,,1,,280
Afghanistan,AFG,National Demographic and Family Guidance Survey,1972,Under-five Mortality Rate,Total,Household Deaths,Others,Household Deaths,,,,1973,"269,00",,,,0,,160
Afghanistan,AFG,National Demographic and Family Guidance Survey,1972,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,,20-24,,"1971,4","360,00",,0,1,0,,160
Afghanistan,AFG,National Demographic and Family Guidance Survey,1972,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,,25-29,,"1969,4","332,00",,0,1,1,,160
Afghanistan,AFG,National Demographic and Family Guidance Survey,1972,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,,30-34,,"1967,1","327,00",,0,1,1,,160
Afghanistan,AFG,National Demographic and Family Guidance Survey,1972,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,,35-39,,"1964,5","343,00",,0,1,1,,160
Afghanistan,AFG,National Demographic and Family Guidance Survey,1972,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,,40-44,,"1961,8","357,00",,0,1,1,,160
Afghanistan,AFG,National Demographic and Family Guidance Survey,1972,Under-five Mortality Rate,Total,Indirect,Others,Summary Birth Histories,,45-49,,"1958,9","368,00",,0,1,1,,160
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2021,5","8,99","0,57",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2019,5","10,81","0,62",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2018,5","9,57","0,58",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2017,5","8,94","0,54",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2016,5","9,94","0,56",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2015,5","8,58","0,51",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2014,5","9,21","0,51",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2013,5","9,93","0,53",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2012,5","10,95","0,56",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2011,5","11,15","0,57",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2010,5","14,96","0,66",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2009,5","15,52","0,67",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2008,5","15,84","0,69",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2007,5","16,44","0,69",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2006,5","16,88","0,69",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2005,5","21,37","0,74",,,1,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2004,5","12,32","0,55",,,0,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2003,5","14,54","0,57",,,0,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2002,5","14,90","0,59",,,0,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2001,5","15,58","0,54",,,0,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"2000,5","15,39","0,55",,,0,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"1999,5","16,26","0,53",,,0,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"1998,5","20,42","0,58",,,0,,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Under-five Mortality Rate,Total,VR,VR,Vital Registration,,,1,"1997,5","21,05","0,58",,,0,,471
