Country.Name;Country.ISO;Series.Name;Series.Year;Indicator;Sex;Series.Type;Series.Category;Data.Collection.Method;Model.Life.Table;Age.Group.of.Women.or.Time.Since.First.Birth;Interval;Reference.Date;Wealth.Quintile;Estimates;Standard.Error.of.Estimates;Indirect.method.based.on.TSFB;Method.based.on.Age.Group.of.Women;Inclusion;DataCatalogID
Albania;ALB;Multiple Indicator Cluster Survey;2000;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;1995,331226;2;50,999767;15,234717;1;0;1;1943
Albania;ALB;Multiple Indicator Cluster Survey;2000;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;1995,331226;3;19,495029;10,005636;1;0;1;1943
Albania;ALB;Multiple Indicator Cluster Survey;2000;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;1995,331226;4;40,450714;14,600124;1;0;1;1943
Albania;ALB;Multiple Indicator Cluster Survey;2000;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;1995,331226;5;38,840225;16,206311;1;0;1;1943
Algeria;DZA;Multiple Indicator Cluster Survey;2018-2019;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2015,5;1;24,504856;3,425;0;0;1;7573
Algeria;DZA;Multiple Indicator Cluster Survey;2018-2019;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2015,5;2;16,796942;2,655496;0;0;1;7573
Algeria;DZA;Multiple Indicator Cluster Survey;2018-2019;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2015,5;5;14,462413;3,522691;0;0;1;7573
Algeria;DZA;Multiple Indicator Cluster Survey;2018-2019;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2015,5;3;16,973186;2,693092;0;0;1;7573
Algeria;DZA;Multiple Indicator Cluster Survey;2018-2019;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2015,5;4;16,934894;2,791769;0;0;1;7573
Algeria;DZA;Multiple Indicator Cluster Survey;2012-2013;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2009,5;1;34,612383;4,045818;0;0;1;4984
Algeria;DZA;Multiple Indicator Cluster Survey;2012-2013;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2009,5;3;16,390593;3,066765;0;0;1;4984
Algeria;DZA;Multiple Indicator Cluster Survey;2012-2013;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2009,5;4;25,485905;3,864885;0;0;1;4984
Algeria;DZA;Multiple Indicator Cluster Survey;2012-2013;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2009,5;5;19,883881;3,729482;0;0;1;4984
Algeria;DZA;Multiple Indicator Cluster Survey;2012-2013;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2009,5;2;26,321421;3,705069;0;0;1;4984
Angola;AGO;Demographic and Health Survey;2015-2016;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2012,5;2;96,215438;6,804583;0;0;1;5805
Angola;AGO;Demographic and Health Survey;2015-2016;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2012,5;3;65,911229;10,191513;0;0;1;5805
Angola;AGO;Demographic and Health Survey;2015-2016;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2012,5;4;50,87507;9,998646;0;0;1;5805
Angola;AGO;Demographic and Health Survey;2015-2016;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2012,5;5;37,110164;9,095388;0;0;1;5805
Angola;AGO;Demographic and Health Survey;2015-2016;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2012,5;1;86,534917;8,190096;0;0;1;5805
Angola;AGO;Malaria Indicator Survey;2011;Under-five Mortality Rate;Total;Direct;MIS;Full Birth Histories;;;5;2008,5;1;99,30884;10,933485;0;0;1;5077
Angola;AGO;Malaria Indicator Survey;2011;Under-five Mortality Rate;Total;Direct;MIS;Full Birth Histories;;;5;2008,5;2;88,327686;10,63941;0;0;1;5077
Angola;AGO;Malaria Indicator Survey;2011;Under-five Mortality Rate;Total;Direct;MIS;Full Birth Histories;;;5;2008,5;3;109,152937;10,879699;0;0;1;5077
Angola;AGO;Malaria Indicator Survey;2011;Under-five Mortality Rate;Total;Direct;MIS;Full Birth Histories;;;5;2008,5;4;86,300671;19,555773;0;0;1;5077
Angola;AGO;Malaria Indicator Survey;2011;Under-five Mortality Rate;Total;Direct;MIS;Full Birth Histories;;;5;2008,5;5;61,595531;19,670384;0;0;1;5077
Angola;AGO;Multiple Indicator Cluster Survey;2001;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD North;5-9;5;1997,019021;2;274,657792;19,211945;1;0;1;1937
Angola;AGO;Multiple Indicator Cluster Survey;2001;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD North;5-9;5;1997,019021;3;267,900861;21,065921;1;0;1;1937
Angola;AGO;Multiple Indicator Cluster Survey;2001;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD North;5-9;5;1997,019021;4;247,377755;19,746065;1;0;1;1937
Angola;AGO;Multiple Indicator Cluster Survey;2001;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD North;5-9;5;1997,019021;5;208,142745;21,741924;1;0;1;1937
Angola;AGO;Multiple Indicator Cluster Survey;2001;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD North;5-9;5;1997,019021;1;268,730474;20,723045;1;0;1;1937
Argentina;ARG;Multiple Indicator Cluster Survey;2019-2020;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;2015,080091;2;9,466016;4,989997;1;0;1;7574
Argentina;ARG;Multiple Indicator Cluster Survey;2019-2020;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;2015,080091;3;9,630852;5,215624;1;0;1;7574
Argentina;ARG;Multiple Indicator Cluster Survey;2019-2020;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;2015,080091;1;25,998587;7,459923;1;0;1;7574
Argentina;ARG;Multiple Indicator Cluster Survey;2019-2020;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;2015,080091;4;11,109115;5,862563;1;0;1;7574
Argentina;ARG;Multiple Indicator Cluster Survey;2019-2020;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;2015,080091;5;17,449986;6,554546;1;0;1;7574
Armenia;ARM;Demographic and Health Survey;2015-2016;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2012,5;1;4,261248;3,021484;0;0;1;5806
Armenia;ARM;Demographic and Health Survey;2015-2016;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2012,5;2;14,500351;5,780546;0;0;1;5806
Armenia;ARM;Demographic and Health Survey;2015-2016;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2012,5;3;10,804558;5,007149;0;0;1;5806
Armenia;ARM;Demographic and Health Survey;2015-2016;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2012,5;4;9,170306;4,006321;0;0;1;5806
Armenia;ARM;Demographic and Health Survey;2010;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2007,5;2;21,314827;10,277374;0;0;1;5046
Armenia;ARM;Demographic and Health Survey;2010;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2007,5;1;21,213421;8,857899;0;0;1;5046
Armenia;ARM;Demographic and Health Survey;2010;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2007,5;3;15,887357;8,197032;0;0;1;5046
Armenia;ARM;Demographic and Health Survey;2010;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2007,5;4;8,495213;5,773249;0;0;1;5046
Armenia;ARM;Demographic and Health Survey;2010;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2007,5;5;18,364027;11,077144;0;0;1;5046
Armenia;ARM;Demographic and Health Survey;2005;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2002,5;1;44,202798;13,477441;0;0;1;1843
Armenia;ARM;Demographic and Health Survey;2005;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2002,5;2;32,486948;15,327023;0;0;1;1843
Armenia;ARM;Demographic and Health Survey;2005;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2002,5;3;10,182823;5,630702;0;0;1;1843
Armenia;ARM;Demographic and Health Survey;2005;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2002,5;4;37,647239;20,682785;0;0;1;1843
Armenia;ARM;Demographic and Health Survey;2005;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2002,5;5;24,098202;18,799499;0;0;1;1843
Armenia;ARM;Demographic and Health Survey;2000;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1997,5;1;60,476814;13,946123;0;0;1;1848
Armenia;ARM;Demographic and Health Survey;2000;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1997,5;5;17,300981;7,424373;0;0;1;1848
Armenia;ARM;Demographic and Health Survey;2000;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1997,5;2;62,482389;17,27525;0;0;1;1848
Armenia;ARM;Demographic and Health Survey;2000;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1997,5;3;26,267369;7,663168;0;0;1;1848
Armenia;ARM;Demographic and Health Survey;2000;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1997,5;4;33,710142;11,395657;0;0;1;1848
Azerbaijan;AZE;Demographic and Health Survey;2006;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2003,5;1;54,280967;12,906537;0;0;1;179
Azerbaijan;AZE;Demographic and Health Survey;2006;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2003,5;5;17,295154;6,862695;0;0;1;179
Azerbaijan;AZE;Demographic and Health Survey;2006;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2003,5;2;68,082287;18,252354;0;0;1;179
Azerbaijan;AZE;Demographic and Health Survey;2006;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2003,5;3;30,071685;8,835718;0;0;1;179
Azerbaijan;AZE;Demographic and Health Survey;2006;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2003,5;4;56,381337;14,519139;0;0;1;179
Azerbaijan;AZE;Multiple Indicator Cluster Survey;2000;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;1995,622029;1;120,536036;17,977504;1;0;1;1912
Azerbaijan;AZE;Multiple Indicator Cluster Survey;2000;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;1995,622029;2;98,843625;15,69744;1;0;1;1912
Azerbaijan;AZE;Multiple Indicator Cluster Survey;2000;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;1995,622029;3;116,366532;18,828864;1;0;1;1912
Azerbaijan;AZE;Multiple Indicator Cluster Survey;2000;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;1995,622029;4;107,308352;19,419053;1;0;1;1912
Azerbaijan;AZE;Multiple Indicator Cluster Survey;2000;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;1995,622029;5;72,481361;17,209836;1;0;1;1912
Bangladesh;BGD;Demographic and Health Survey;2017-2018;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2014,5;1;58,316424;6,834471;0;0;1;7475
Bangladesh;BGD;Demographic and Health Survey;2017-2018;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2014,5;4;44,016669;6,84786;0;0;1;7475
Bangladesh;BGD;Demographic and Health Survey;2017-2018;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2014,5;2;48,664623;8,478862;0;0;1;7475
Bangladesh;BGD;Demographic and Health Survey;2017-2018;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2014,5;3;44,770817;6,373705;0;0;1;7475
Bangladesh;BGD;Demographic and Health Survey;2017-2018;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2014,5;5;35,662865;5,168282;0;0;1;7475
Bangladesh;BGD;Demographic and Health Survey;2014;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2011,5;1;59,621786;7,158731;0;0;1;5787
Bangladesh;BGD;Demographic and Health Survey;2014;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2011,5;2;57,355195;8,472844;0;0;1;5787
Bangladesh;BGD;Demographic and Health Survey;2014;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2011,5;3;52,257092;8,891353;0;0;1;5787
Bangladesh;BGD;Demographic and Health Survey;2014;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2011,5;4;38,275955;5,178553;0;0;1;5787
Bangladesh;BGD;Demographic and Health Survey;2014;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2011,5;5;32,773613;4,449693;0;0;1;5787
Bangladesh;BGD;Demographic and Health Survey;2011;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2008,5;1;70,072425;7,315697;0;0;1;5048
Bangladesh;BGD;Demographic and Health Survey;2011;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2008,5;5;36,136269;4,788547;0;0;1;5048
Bangladesh;BGD;Demographic and Health Survey;2011;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2008,5;2;68,003031;6,311511;0;0;1;5048
Bangladesh;BGD;Demographic and Health Survey;2011;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2008,5;3;57,842771;6,334883;0;0;1;5048
Bangladesh;BGD;Demographic and Health Survey;2011;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2008,5;4;51,499533;6,692668;0;0;1;5048
Bangladesh;BGD;Demographic and Health Survey;2007;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2004,5;3;72,081706;8,810328;0;0;1;1840
Bangladesh;BGD;Demographic and Health Survey;2007;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2004,5;4;68,024227;7,648877;0;0;1;1840
Bangladesh;BGD;Demographic and Health Survey;2007;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2004,5;5;38,444445;6,126106;0;0;1;1840
Bangladesh;BGD;Demographic and Health Survey;2007;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2004,5;1;85,081509;12,646556;0;0;1;1840
Bangladesh;BGD;Demographic and Health Survey;2007;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2004,5;2;70,193123;10,532324;0;0;1;1840
Bangladesh;BGD;Demographic and Health Survey;2004;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2001,5;1;107,871518;10,279404;0;0;1;1813
Bangladesh;BGD;Demographic and Health Survey;2004;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2001,5;2;93,433366;8,25883;0;0;1;1813
Bangladesh;BGD;Demographic and Health Survey;2004;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2001,5;4;79,33484;9,095522;0;0;1;1813
Bangladesh;BGD;Demographic and Health Survey;2004;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2001,5;5;62,872943;6,694026;0;0;1;1813
Bangladesh;BGD;Demographic and Health Survey;2004;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2001,5;3;89,928938;8,32538;0;0;1;1813
Bangladesh;BGD;Demographic and Health Survey;1999-2000;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1996,5;2;112,877913;10,247758;0;0;1;1816
Bangladesh;BGD;Demographic and Health Survey;1999-2000;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1996,5;1;139,697799;9,929536;0;0;1;1816
Bangladesh;BGD;Demographic and Health Survey;1999-2000;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1996,5;3;95,699649;8,051026;0;0;1;1816
Bangladesh;BGD;Demographic and Health Survey;1999-2000;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1996,5;4;79,05988;7,351586;0;0;1;1816
Bangladesh;BGD;Demographic and Health Survey;1999-2000;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1996,5;5;57,005284;5,58184;0;0;1;1816
Bangladesh;BGD;Demographic and Health Survey;1996-1997;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1993,5;5;81,572462;8,105101;0;0;1;1815
Bangladesh;BGD;Demographic and Health Survey;1996-1997;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1993,5;1;131,358017;10,657953;0;0;1;1815
Bangladesh;BGD;Demographic and Health Survey;1996-1997;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1993,5;2;138,798141;11,711798;0;0;1;1815
Bangladesh;BGD;Demographic and Health Survey;1996-1997;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1993,5;3;133,766866;9,909652;0;0;1;1815
Bangladesh;BGD;Demographic and Health Survey;1996-1997;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1993,5;4;123,543115;10,289934;0;0;1;1815
Bangladesh;BGD;Demographic and Health Survey;1993-1994;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1990,5;2;173,570346;12,234516;0;0;1;1814
Bangladesh;BGD;Demographic and Health Survey;1993-1994;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1990,5;3;137,874688;8,773159;0;0;1;1814
Bangladesh;BGD;Demographic and Health Survey;1993-1994;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1990,5;4;117,117335;9,813229;0;0;1;1814
Bangladesh;BGD;Demographic and Health Survey;1993-1994;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1990,5;5;95,722595;8,172853;0;0;1;1814
Bangladesh;BGD;Demographic and Health Survey;1993-1994;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;1990,5;1;173,546079;11,643472;0;0;1;1814
Bangladesh;BGD;Multiple Indicator Cluster Survey;2019;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2016,5;4;35,71816;4,108841;0;0;1;7575
Bangladesh;BGD;Multiple Indicator Cluster Survey;2019;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2016,5;5;26,245397;3,200171;0;0;1;7575
Bangladesh;BGD;Multiple Indicator Cluster Survey;2019;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2016,5;2;45,652729;4,641907;0;0;1;7575
Bangladesh;BGD;Multiple Indicator Cluster Survey;2019;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2016,5;3;41,934157;4,019802;0;0;1;7575
Bangladesh;BGD;Multiple Indicator Cluster Survey;2019;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2016,5;1;45,835344;4,462989;0;0;1;7575
Bangladesh;BGD;Multiple Indicator Cluster Survey;2012-2013;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD West;5-9;5;2008,255372;2;66,54771;5,417032;1;0;1;5595
Bangladesh;BGD;Multiple Indicator Cluster Survey;2012-2013;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD West;5-9;5;2008,255372;3;59,309885;5,624135;1;0;1;5595
Bangladesh;BGD;Multiple Indicator Cluster Survey;2012-2013;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD West;5-9;5;2008,255372;1;75,516255;5,897767;1;0;1;5595
Bangladesh;BGD;Multiple Indicator Cluster Survey;2012-2013;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD West;5-9;5;2008,255372;4;51,954654;5,954103;1;0;1;5595
Bangladesh;BGD;Multiple Indicator Cluster Survey;2012-2013;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD West;5-9;5;2008,255372;5;34,140436;6,25887;1;0;1;5595
